"WIKI.MMM - Adj. Open","WIKI.MMM - Adj. High","WIKI.MMM - Adj. Low","WIKI.MMM - Adj. Close","WIKI.MMM - Adj. Volume"
175.59784543468,176.74669897803,174.01694440493,174.83194307244,2510055
174.81230455033,175.66658026206,174.39989558605,175.0970631209,1541985
175.03814755458,175.90224252736,173.69290879013,174.49808819659,1447568
174.08567923231,175.37200243043,172.62260933521,175.00868977142,1625049
175.14615942618,175.15597868723,173.99730588282,174.0660407102,1622625
174.15441405969,174.28206445339,173.12348984159,173.38851169745,2030149
173.43760800272,175.22471351461,173.20194573742,174.67483489557,1579593
173.77146287857,174.48826893554,172.57351302994,174.23296814812,1321766
174.37043780288,174.69447341768,173.63399322381,174.18387184285,1265593
173.80092066173,174.46863041343,173.06447608266,174.05622144914,1557453
174.68465415662,176.19682035899,174.1740525818,175.26399055883,1804904
176.01025439896,176.55031375695,174.54718450186,175.45055651886,1464364
175.96115809369,176.2164588811,174.61591932924,175.26399055883,1761780
174.69447341768,175.75495361154,173.92857105544,175.28362908094,1986783
174.29188371445,174.54718450186,171.26755130971,172.78953677314,3473183
173.88929401122,175.40146021359,173.3786924364,173.53580061327,3462633
173.12339164898,174.02676366598,172.85827160052,173.62417396275,2233979
174.27224519234,174.76320824506,173.63399322381,174.27224519234,1623666
174.04640218809,174.5177267187,171.70941805716,172.24947741515,1823128
171.58176766345,172.28875445936,170.6685763854,171.66032175189,1845467
172.00399588879,172.62260933521,171.14972017706,172.00399588879,2272854
170.98279273914,171.61613507714,170.41327559799,171.03188904441,3106798
170.87478086754,172.1316462825,170.70785342962,171.87634549508,2820960
170.97297347808,173.01537977739,170.75694973489,171.93526106141,1622756
172.89754864473,173.21176499847,171.98818687849,172.58333229099,1247189
172.44586263623,174.39007632499,172.31821224253,173.86965548911,2145683
173.67327026803,175.32290612515,173.67327026803,174.95959346614,2009742
175.0774245988,176.33429001375,174.9694127272,175.7647728726,1392438
176.60922932327,178.10175700353,176.02007366001,177.74826360557,1929821
177.59115542871,178.7105511889,177.38495094656,178.31778074673,2036188
178.18615022877,179.70117722988,178.03879828756,179.56973653115,1762914
179.61915032767,181.30910216844,179.48573307708,181.25968837193,2164045
181.27945389053,181.44746079868,180.39000555328,180.805081444,1961456
180.64695729516,181.46722631728,179.90575034745,181.22015733472,1736345
181.24980561262,183.93791614297,180.93355731494,183.85885406855,2850946
183.73037819762,185.25726450989,183.53272301156,184.99537138837,2401641
184.62970929417,186.20106802331,184.11580581042,185.21279209303,2126138
185.30173692676,185.35115072327,184.18992650519,184.71865412789,1393808
184.54076446044,185.30173692676,184.12568856973,184.16521960694,1932120
185.87493696632,188.30609575479,185.8057576512,187.63406812221,2226206
187.2387577501,187.87125434547,186.81379910008,187.66371640011,1763962
187.6241853629,188.00961297571,186.32954389424,187.09051636055,1627706
186.71497150705,187.02133704544,186.06270939307,186.68532322914,1668743
