"WIKI.ABBV - Adj. Open","WIKI.ABBV - Adj. High","WIKI.ABBV - Adj. Low","WIKI.ABBV - Adj. Close","WIKI.ABBV - Adj. Volume"
60.684454147891,60.790545850946,59.734451170528,60.192574433723,9328198
60.414402540112,61.533091325334,60.414402540112,61.041308058169,8674823
61.128110360669,61.677858276504,60.790545850946,61.504253671503,5359393
61.611309844587,61.726081777893,61.263136164558,61.523543072059,4722267
61.533187772337,62.092580388449,61.484964270948,61.928620483726,8792848
61.774305279282,62.208316791782,61.504253671503,61.793594679837,6523547
61.767985902554,62.026245862544,59.048947078506,59.584958316222,13565179
59.224368938122,59.867582423381,58.883270877758,59.721397540368,8194353
59.789617152441,60.822656992401,59.497247386414,60.413339319964,7295072
60.179443507143,60.462067614302,59.545975680752,60.286645754686,8446663
60.18918916601,60.559524202977,59.755507346404,60.091732577335,5519207
59.887073741116,60.306137072421,59.565564455075,59.818854129043,5384163
59.848091105646,60.198934824878,59.526484363017,59.594703975089,6729941
59.468010409811,59.701906222633,59.136658008314,59.409536456606,5244715
59.360808162268,59.380299480003,58.152346462692,59.039201419639,6642033
59.058692737374,60.062495600732,58.805305606818,59.818854129043,8052806
59.604449633957,60.325628390156,59.516738704149,59.7116518815,7764486
58.473953205321,59.692160563765,58.006161579678,58.473953205321,14151123
58.386242275513,58.931999172096,57.762520107989,58.893016536626,7792453
58.483698864188,59.755507346404,58.230311733632,59.555721339619,8149664
59.516738704149,59.545975680752,58.737085994745,59.341316844533,5888681
59.107421031712,59.565466998487,58.941744830963,59.341316844533,5365347
59.351062503401,59.506993045281,58.902762195493,59.126912349447,6470271
58.970981807566,59.41440928604,58.815051265685,59.107421031712,5358115
59.107421031712,59.321825526798,58.863779560023,59.019710101904,4210235
58.610392429467,59.468010409811,58.522681499659,58.980727466434,5357808
59.19513196152,59.448519092076,58.883270877758,59.292588550195,4324649
59.302334209063,59.448519092076,58.737085994745,58.883270877758,5749160
59.039201419639,59.311105302044,58.897304626527,58.970981807566,6396046
58.902762195493,59.429027774341,58.620138088334,59.27309723246,13562193
59.370553821136,60.267154436951,58.863779560023,60.081986918467,8927630
60.101478236202,60.335374049024,59.263351573593,59.916310717719,5662016
59.974784670924,60.501050249772,59.614195292825,60.198934824878,8124442
60.267154436951,60.530287226375,59.935802035454,60.257408778083,8503319
60.15020653054,60.374356684494,59.740888858103,59.799362811308,6422208
60.11122389507,60.652400331985,59.887073741116,60.364611025626,8057672
60.345119707891,60.647235132785,59.926056376586,60.510795908639,6536054
60.442576296567,60.783674356931,60.11122389507,60.637489473918,5214091
60.530287226375,60.812911333534,60.120969553937,60.267154436951,6756122
60.579015520712,61.329431253514,60.374356684494,61.231974664838,7737382
61.183246370501,61.981415831753,61.007824510885,61.641292337276,8190430
61.50485311313,61.914170785567,61.231974664838,61.729003267084,6125782
61.397650865587,62.226031869329,61.280702959176,61.933662103302,6837019
61.534090089733,62.508655976488,61.368413888984,62.070101327448,9637663
62.128575280653,63.030048725902,61.884933808965,62.508655976488,7049660
62.508655976488,63.073904190806,62.42094504668,62.85949969572,6957213
63.639152405124,64.759903174893,63.453984886641,64.204400619442,12788109
64.194654960575,64.262874572648,63.639152405124,64.17516364284,7577385
64.204400619442,64.370076820191,63.931522171151,63.999741783224,3728039
64.028978759826,65.09125557639,64.009487442091,64.857359763568,5241216
64.711174880555,64.759903174893,63.882793876813,64.223891937177,5162786
64.360331161323,64.409059455661,63.834065582475,64.019233100959,11288046
64.106944030767,64.33109418472,63.892539535681,64.126435348502,4252114
64.282365890383,64.321348525853,63.385765274568,63.687880699462,5187438
63.717117676065,64.058215736429,63.444239227773,63.85355690021,5662572
63.85355690021,64.384695308492,63.697626358329,63.980250465489,4099497
63.843811241343,64.43342360283,63.658643722859,63.951013488886,4056243
