"date","close","volume","open","high","low"
"16:00","N/A","0","N/A","N/A","N/A"
"2017/05/18","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/17","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/16","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/15","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/12","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/11","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/10","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/09","0.5100","0.0000","0.5100","0.5100","0.5100"
"2017/05/08","0.5100","14000.0000","0.5100","0.5100","0.5100"
"2017/05/05","0.5200","0.0000","0.5200","0.5200","0.5200"
"2017/05/04","0.5200","0.0000","0.5200","0.5200","0.5200"
"2017/05/03","0.5200","0.0000","0.5200","0.5200","0.5200"
"2017/05/02","0.5200","0.0000","0.5200","0.5200","0.5200"
"2017/05/01","0.5200","5000.0000","0.5200","0.5200","0.5200"
"2017/04/28","0.5750","0.0000","0.5750","0.5750","0.5750"
"2017/04/27","0.5750","0.0000","0.5750","0.5750","0.5750"
"2017/04/26","0.5750","0.0000","0.5750","0.5750","0.5750"
"2017/04/25","0.5750","0.0000","0.5750","0.5750","0.5750"
"2017/04/24","0.5750","2100.0000","0.5750","0.5750","0.5750"
"2017/04/21","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/20","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/19","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/18","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/17","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/13","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/12","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/11","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/10","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/07","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/06","0.4760","0.0000","0.4760","0.4760","0.4760"
"2017/04/05","0.4760","10000.0000","0.4760","0.4760","0.4760"
"2017/04/04","0.4950","0.0000","0.4950","0.4950","0.4950"
"2017/04/03","0.4950","0.0000","0.4950","0.4950","0.4950"
"2017/03/31","0.4950","0.0000","0.4950","0.4950","0.4950"
"2017/03/30","0.4950","1000.0000","0.4950","0.4950","0.4950"
"2017/03/29","0.4990","2500.0000","0.4990","0.4990","0.4990"
"2017/03/28","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/27","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/24","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/23","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/22","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/21","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/20","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/17","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/16","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/15","0.4820","0.0000","0.4820","0.4820","0.4820"
"2017/03/14","0.4820","1000.0000","0.4820","0.4820","0.4820"
"2017/03/13","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/10","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/09","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/08","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/07","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/06","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/03","0.5400","0.0000","0.5400","0.5400","0.5400"
"2017/03/02","0.5400","250.0000","0.5400","0.5400","0.5400"
"2017/03/01","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/02/28","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/02/27","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/02/24","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/02/23","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/02/22","0.5470","0.0000","0.5470","0.5470","0.5470"
"2017/02/21","0.5470","0.0000","0.5470","0.5470","0.5470"
