"Index" "Open" "High" "Low" "Close" "Volume"
2017-01-03 115.05552295453 115.47700766121 113.52641564656 114.15374172163 2352157
2017-01-04 114.59483036816 115.46720569129 114.12433581186 114.42819687947 2639772
2017-01-05 114.66344415762 114.82027567638 112.67364426328 112.71285214297 3685380
2017-01-06 112.71285214297 114.42819687947 112.07572409798 113.99691020286 4125269
2017-01-09 113.8400786841 114.042489363 112.64423835351 112.72265411289 2550869
2017-01-10 112.66384229335 113.69304913525 112.36978319567 112.78146593243 2550138
2017-01-11 113.1147329098 113.95770232317 112.63443638358 113.82047474425 2845844
2017-01-12 113.33037624811 113.66854421045 112.56582259412 113.48720776687 2110781
2017-01-13 113.06572306019 115.11433477407 113.06572306019 114.63403824785 2666366
2017-01-17 113.62443534579 114.0557220224 113.18334669926 113.73225701494 2374325
2017-01-18 114.23215748101 114.63403824785 113.44799988718 113.65384125556 2262162
2017-01-19 113.31077230826 113.70285110518 112.98730730081 113.21275260903 1647118
2017-01-20 113.5852274661 113.94790035325 112.53641668436 112.79126790235 2781387
2017-01-23 112.50701077459 112.98730730081 112.3403772859 112.54621865428 2319952
2017-01-24 112.91869351135 114.33017718024 112.56582259412 114.17334566147 2810084
2017-01-25 114.58502839823 116.01611600697 114.38898899978 115.24176038307 2905948
2017-01-26 114.67324612754 115.11433477407 113.33468911487 113.63423731572 2865071
2017-01-27 113.89889050363 114.12923679682 112.79126790235 113.06572306019 2545180
2017-01-30 113.03631715042 113.04611912034 111.16414089516 112.35998122574 2529715
2017-01-31 111.71305121084 111.75990462707 110.37998330133 111.61503151161 2338994
2017-02-01 111.54641772215 112.49622860767 110.08592420364 110.9681014967 2471638
2017-02-02 110.90928967716 111.51701181238 110.47800300056 111.38958620338 2450479
2017-02-03 111.7424571206 112.5560206242 111.0955271057 112.22275364682 1664211
2017-02-06 111.81107091006 112.93829745119 111.12983400043 111.91889257922 2019412
2017-02-07 112.72265411289 113.86948459386 112.67364426328 113.62443534579 2538228
2017-02-08 113.84988065402 113.84988065402 112.64423835351 113.14413881957 2373733
2017-02-09 113.22255457896 115.13393871391 113.18334669926 114.66344415762 2117069
2017-02-10 114.38898899978 116.48661056327 114.21255354116 115.27116629283 2183016
2017-02-13 115.56522539052 116.59443223242 115.39369091687 116.2415613152 1988541
2017-02-14 116.12393767612 117.62363907432 116.06022487162 117.62363907432 2559693
2017-02-15 117.24136224733 117.78537157805 116.93750117972 117.55502528486 1951131
2017-02-16 117.55502528486 118.59403409668 117.16294648795 118.32938090877 1966972
2017-02-17 118.12353954039 118.88809319437 117.72165877355 118.82928137483 1904933
2017-02-21 118.24116317946 119.7996763972 118.18235135992 119.68205275812 2117134
2017-02-22 119.25076608152 120.4466064121 119.17235032213 119.78987442727 1557038
2017-02-23 120.16234928434 120.27507193845 119.31937987098 120.05452761519 1439556
2017-02-24 119.58403305889 120.98571475786 119.19195426198 120.98571475786 1447663
2017-02-27 120.5740320211 120.98571475786 120.05452761519 120.3583886828 1679832
2017-02-28 120.31918080311 120.65244778048 119.51541926943 120.07413155504 1745371
2017-03-01 120.79947732933 121.82868417123 120.03492367534 121.61304083292 1879707
2017-03-02 121.53462507354 121.96591175015 121.11314036686 121.88749599076 1896716
2017-03-03 121.78947629154 121.78947629154 120.54952709629 121.19155612624 2122955
