"Index" "Open" "High" "Low" "Close" "Volume"
2017-01-03 39.513777383912 39.860389466227 38.998810861616 39.682131823894 1485686
2017-01-04 39.602906205079 40.504097619098 38.790843612227 40.424872000283 1600941
2017-01-05 40.345646381468 40.721869038816 39.800970252116 40.375355988524 1775443
2017-01-06 40.583323237913 40.969548129635 40.127775929728 40.702161666135 1789267
2017-01-09 40.593226440265 40.920032117876 40.127775929728 40.424872000283 1550901
2017-01-10 40.573420035561 41.009061907019 40.162437137959 40.375355988524 2787311
2017-01-11 40.226807953246 40.296130369709 39.048326873375 39.731647835653 4441048
2017-01-12 39.751454240357 39.985268847884 38.939391647505 39.602906205079 2436592
2017-01-13 39.692035026246 40.098066322672 39.66232541919 39.909905477987 1298835
2017-01-17 39.731647835653 39.890099073283 39.266197325116 39.404842158042 1601074
2017-01-18 39.593003002727 39.593003002727 39.226584515709 39.39493895569 2023999
2017-01-19 39.533583788616 39.593003002727 39.23648771806 39.434551765098 1787913
2017-01-20 39.523680586264 39.642519014487 39.12755249219 39.474164574505 1804436
2017-01-23 39.484067776857 39.729271067089 38.919585242801 39.117649289838 1601964
2017-01-24 39.404842158042 40.137679132079 39.385035753338 40.038647108561 2147236
2017-01-25 40.35554958382 40.910128915524 40.35554958382 40.900225713172 911703
2017-01-26 40.721968070839 41.028967343747 40.301081970885 40.385259190876 1238316
2017-01-27 40.395162393228 40.533807226154 39.810873454468 40.008937501505 967054
2017-01-30 40.127775929728 40.24661435795 39.493970979209 40.167388739135 1702136
2017-01-31 40.028743906209 40.464484809691 39.682131823894 40.434775202635 1808998
2017-02-01 40.751677677895 41.09828976021 40.286227167357 40.632839249672 1224583
2017-02-02 40.613032844969 40.868040305529 39.880195870931 40.078259917968 1838113
2017-02-03 40.306033572061 40.484291214394 40.068356715616 40.207001548542 1024094
2017-02-06 39.870292668579 40.197098346191 39.811863774703 40.177291941487 863938
2017-02-07 40.098066322672 40.098066322672 39.315713336875 39.71184143095 1678414
2017-02-08 39.751454240357 40.202049947367 39.464261372153 40.068356715616 1994265
2017-02-09 39.612809407431 40.910128915524 39.612809407431 40.256517560302 2560169
2017-02-10 40.494194416746 41.246837795488 40.40506559558 41.227031390784 2099896
2017-02-13 41.266644200191 41.771707520136 40.989354534339 41.266644200191 2285993
